state,year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,Median AQI,Avg_Temp,Total_Sightings
Alabama,2011,4722,2800,1840,75,7,0,0,111.8947368,46.84210526,18.79571391,104
Alabama,2012,4481,2941,1476,60,4,0,0,110.8235294,44.05882353,10.56729751,123
Alabama,2013,4692,3470,1219,3,0,0,0,86.77777778,41.27777778,16.84536496,55
Alabama,2014,4688,3385,1287,16,0,0,0,93.77777778,41.77777778,62.96085872,201
Alabama,2015,5171,3047,2102,19,3,0,0,106.7777778,44.94444444,65.13476517,162
Alabama,2016,4996,3172,1795,24,5,0,0,113.0555556,44.27777778,68.8312324,248
Alabama,2017,5156,3444,1696,14,1,1,0,106.8888889,42.88888889,66.84438841,306
Alabama,2018,5008,3364,1635,7,2,0,0,99.11764706,41.41176471,65.79294732,553
Alabama,2019,4934,3247,1670,17,0,0,0,89.88235294,43.47058824,67.28228635,665
Alabama,2020,4334,3025,1304,5,0,0,0,86.33333333,39.6,66.6021172,237
Alabama,2021,4422,3063,1349,8,2,0,0,92.73333333,40.53333333,58.22178325,1007
Alabama,2022,4526,3179,1343,4,0,0,0,90.6,40.73333333,65.39028831,530
Alabama,2023,4813,3028,1756,24,3,2,0,111.2,44.4,62.42555844,567
Alabama,2024,1327,1017,308,2,0,0,0,79.85714286,37.21428571,63.72603021,33
Arizona,2010,4024,2535,1382,103,2,0,2,245.0769231,43.84615385,61.82345692,56
Arizona,2011,4168,2337,1566,209,27,13,16,328.1538462,46.53846154,61.48877347,84
Arizona,2012,4373,2427,1678,244,16,4,4,171.9230769,47.15384615,65.22008797,305
Arizona,2013,4506,2743,1584,142,24,8,5,244.5384615,45.07692308,63.66959292,404
Arizona,2014,4645,2865,1598,140,23,7,12,211.0769231,44.61538462,65.1696919,105
Arizona,2015,4670,3220,1338,98,3,1,10,178.1538462,41.38461538,64.51272454,230
Arizona,2016,4728,3103,1511,103,6,3,2,237.3846154,44.07692308,65.16892474,810
Arizona,2017,4706,2891,1647,149,16,2,1,148.9230769,45.30769231,64.42876025,146
Arizona,2018,4733,2969,1587,150,13,6,8,206.7692308,44.46153846,63.82647257,101
Arizona,2019,4727,3190,1442,83,2,3,7,166.1538462,43.07692308,62.08667,193
Arizona,2020,4707,3039,1343,168,78,76,3,244.3076923,48.53846154,64.65579187,112
Arizona,2021,4695,2856,1524,170,71,73,1,163.4615385,50.38461538,64.10307668,675
Arizona,2022,4720,3150,1393,144,22,8,3,172,43.61538462,62.48403903,289
Arizona,2023,4723,3040,1527,133,19,2,2,205.3846154,43.84615385,63.30584952,205
Arizona,2024,2351,1558,733,56,2,2,0,122.6923077,40,62.29335989,245
Arkansas,2010,3540,1930,1570,38,2,0,0,101.1764706,49.52941176,61.39483531,28
Arkansas,2011,3438,1874,1509,53,2,0,0,99.47058824,49,62.31386022,155
Arkansas,2012,2899,1700,1145,50,4,0,0,105.2142857,48,64.84482162,128
Arkansas,2013,2718,1858,855,5,0,0,0,93.90909091,44.09090909,62.25180097,165
Arkansas,2014,2752,2021,728,3,0,0,0,89.18181818,42.45454545,61.84680366,308
Arkansas,2015,2731,2037,692,2,0,0,0,85.36363636,41.27272727,64.00585397,260
Arkansas,2016,2778,2094,681,2,1,0,0,85.09090909,42.45454545,63.93245271,367
Arkansas,2017,3022,1975,1045,2,0,0,0,85.90909091,44.09090909,66.57375223,355
Arkansas,2018,3120,2090,1021,9,0,0,0,95.08333333,42.83333333,64.46688417,890
Arkansas,2019,3088,2067,1019,2,0,0,0,85.30769231,43.76923077,64.09715192,738
Arkansas,2020,2768,2116,646,6,0,0,0,96.45454545,39.18181818,63.70514571,631
Arkansas,2021,2754,1897,850,7,0,0,0,90.18181818,42.63636364,68.17797226,515
Arkansas,2022,2747,1953,783,10,1,0,0,104.5454545,42.09090909,73.07554944,218
