State,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,Median AQI,Avg_Temp
Alabama,2011,4722,2800,1840,75,7,0,0,111.89473684210526,46.8421052631579,18.79571391197183
Alabama,2012,4481,2941,1476,60,4,0,0,110.82352941176471,44.05882352941177,10.567297511904762
Alabama,2013,4692,3470,1219,3,0,0,0,86.77777777777777,41.27777777777778,16.845364961643835
Alabama,2014,4688,3385,1287,16,0,0,0,93.77777777777777,41.77777777777778,62.96085871866296
Alabama,2015,5171,3047,2102,19,3,0,0,106.77777777777777,44.94444444444444,65.13476516712329
Alabama,2016,4996,3172,1795,24,5,0,0,113.05555555555556,44.27777777777778,68.8312324005102
Alabama,2017,5156,3444,1696,14,1,1,0,106.88888888888889,42.888888888888886,66.84438841009934
Alabama,2018,5008,3364,1635,7,2,0,0,99.11764705882354,41.411764705882355,65.79294732260274
Alabama,2019,4934,3247,1670,17,0,0,0,89.88235294117646,43.470588235294116,67.28228635144256
Alabama,2020,4334,3025,1304,5,0,0,0,86.33333333333333,39.6,66.60211719720817
Alabama,2021,4422,3063,1349,8,2,0,0,92.73333333333333,40.53333333333333,58.221783252493566
Alabama,2022,4526,3179,1343,4,0,0,0,90.6,40.733333333333334,65.39028831226219
Alabama,2023,4813,3028,1756,24,3,2,0,111.2,44.4,62.425558439048544
Alabama,2024,1327,1017,308,2,0,0,0,79.85714285714286,37.214285714285715,63.726030214285714
Alaska,2010,2097,1656,400,33,8,0,0,92.0,24.125,29.683629701369863
Alaska,2011,2196,1744,417,29,5,1,0,101.5,27.25,31.58855643279888
Alaska,2012,2410,1955,407,21,24,3,0,101.625,25.25,22.138714330565918
Alaska,2013,2274,1830,377,38,28,1,0,112.375,24.75,27.94608729644031
Alaska,2014,2194,1631,464,47,46,6,0,139.375,27.0,31.45005500134051
Alaska,2015,2045,1508,463,30,38,6,0,105.125,26.625,22.36963152617016
Alaska,2016,1997,1551,386,37,23,0,0,92.28571428571429,28.571428571428573,32.97183310928962
Alaska,2017,1996,1632,312,31,21,0,0,96.42857142857143,25.428571428571427,30.03427892771495
Alaska,2018,2253,1874,336,32,11,0,0,87.25,25.875,30.424325326836446
Alaska,2019,2479,1996,426,31,21,1,4,163.22222222222223,23.11111111111111,31.810802452798796
Alaska,2020,2332,2035,258,19,20,0,0,81.22222222222223,18.77777777777778,26.368594437034275
Alaska,2021,2157,1833,285,25,14,0,0,99.0,20.625,28.78836384997463
Alaska,2022,2092,1768,275,19,28,1,1,127.25,20.25,29.436096288745798
Alaska,2023,2163,1883,247,22,10,1,0,86.625,19.75,29.960673141462365
Alaska,2024,510,382,116,9,2,1,0,101.0,35.0,32.77366937902318
Arizona,2010,4024,2535,1382,103,2,0,2,245.07692307692307,43.84615384615385,61.823456924497144
Arizona,2011,4168,2337,1566,209,27,13,16,328.15384615384613,46.53846153846154,61.48877347130051
Arizona,2012,4373,2427,1678,244,16,4,4,171.92307692307693,47.15384615384615,65.22008796761145
Arizona,2013,4506,2743,1584,142,24,8,5,244.53846153846155,45.07692307692308,63.66959292292912
Arizona,2014,4645,2865,1598,140,23,7,12,211.07692307692307,44.61538461538461,65.16969189569754
Arizona,2015,4670,3220,1338,98,3,1,10,178.15384615384616,41.38461538461539,64.51272453674329
Arizona,2016,4728,3103,1511,103,6,3,2,237.3846153846154,44.07692307692308,65.16892473777027
